Huber, Patrick, 1961-07-08, M, LEICHTATHLETIK
Fischer, Doreen, 1988-01-09, F, TURNEN
Gaertner, Sabrina, 1946-04-20, F, HANDBALL
Pabst, Swen, 1982-06-08, M, REITEN
Hahn, Mike, 1934-12-06, M, LEICHTATHLETIK
Peters, Heike, 1924-01-07, F, FECHTEN
Fuchs, Jessica, 1933-04-14, F, TURNEN
Weissmuller, Tobias, 1934-09-06, M, REITEN
Kaestner, Swen, 1964-02-20, M, REITEN
Klein, Jennifer, 1934-01-12, F, HANDBALL
Thalberg, Ralf, 1962-11-01, M, REITEN
Hertzog, Maximilian, 1956-11-22, M, FUSSBALL
Eberhardt, Michael, 1929-11-01, M, RUDERN
Kuefer, Sarah, 1931-05-26, F, RUDERN
Neumann, Dieter, 1962-06-30, M, RUDERN
Freeh, Julia, 1967-06-04, F, TURNEN
Weber, Claudia, 1983-09-16, F, HANDBALL
Zimmer, Kristian, 1929-09-30, M, LEICHTATHLETIK
Busch, Jessica, 1928-10-26, F, FUSSBALL
Osterhagen, Karolin, 1923-02-15, F, SCHWIMMEN
Gerber, Thorsten, 1986-01-11, M, SCHWIMMEN
Boehm, Anja, 1977-10-03, F, RUDERN
Hahn, Tim, 1952-06-29, M, TURNEN
Shuster, Jan, 1946-04-12, M, LEICHTATHLETIK
Braun, Eric, 1981-02-01, M, TURNEN
Lang, Katharina, 1954-03-10, F, RUDERN
Abt, Mathias, 1965-06-28, M, LEICHTATHLETIK
Maur, Mandy, 1950-08-21, F, HANDBALL
Eisenhauer, Felix, 1963-02-25, M, RUDERN
Kaiser, Annett, 1948-12-24, F, RUDERN
Moench, Stephan, 1985-05-14, M, LEICHTATHLETIK
Wexler, Stefan, 1945-01-06, M, FUSSBALL
Junker, Klaus, 1930-09-11, M, TANZEN
Schwarz, Jens, 1967-11-03, M, LEICHTATHLETIK
Reiniger, Matthias, 1997-06-26, M, RADSPORT
Freytag, Angelika, 1941-04-12, F, LEICHTATHLETIK
Werner, Uwe, 1929-04-18, M, RUDERN
Friedmann, Martin, 1955-04-11, M, REITEN
Duerr, Andrea, 1981-01-18, F, LEICHTATHLETIK
Herzog, Benjamin, 1922-11-16, M, RUDERN
Frey, Jan, 1961-04-25, M, TURNEN
Beckenbauer, Angelika, 1952-03-13, F, SCHWIMMEN
Dreher, Sven, 1972-07-05, M, HANDBALL
Ziegler, Kristian, 1928-06-24, M, RUDERN
Drescher, Sandra, 1972-10-22, F, FECHTEN
Fink, Jonas, 1921-09-10, M, TURNEN
Baader, Janina, 1945-05-14, F, HANDBALL
Lehmann, Dominik, 1943-06-20, M, REITEN
Beike, Jens, 1990-02-14, M, TURNEN
Cole, Jan, 1988-05-15, M, FECHTEN
Diederich, Katharina, 1962-06-06, F, RADSPORT
Peters, Dirk, 1918-09-09, M, TURNEN
Beich, Johanna, 1923-01-24, F, HANDBALL
Furst, Andreas, 1945-06-29, M, REITEN
Koehler, Leonie, 1919-05-13, F, LEICHTATHLETIK
Baumgartner, Andrea, 1950-01-12, F, FECHTEN
Mayer, Wolfgang, 1989-09-30, M, REITEN
Schulze, Juliane, 1950-12-03, F, RUDERN
Ziegler, Eric, 1992-12-05, M, REITEN
Baier, Rene, 1983-09-04, M, HANDBALL
Bosch, Phillipp, 1985-02-08, M, TURNEN
Lemann, Max, 1983-12-01, M, REITEN
Kluge, Katrin, 1955-06-16, F, HANDBALL
Berg, Tobias, 1921-12-04, M, RADSPORT
Mauer, Phillipp, 1954-08-18, M, RADSPORT
Neumann, Eric, 1938-09-22, M, HANDBALL
Blau, Martin, 1919-06-22, M, RADSPORT
Frey, Phillipp, 1984-05-19, M, SCHWIMMEN
Fruehauf, Leonie, 1996-01-13, F, LEICHTATHLETIK
Koertig, Tom, 1985-08-07, M, TANZEN
Fuerst, Christine, 1921-05-13, F, TURNEN
Bar, Melanie, 1940-12-18, F, REITEN
Frey, Sabine, 1917-12-17, F, RUDERN
Kunze, Lisa, 1932-05-18, F, HANDBALL
Zimmer, Marcel, 1986-02-18, M, TANZEN
Schroeder, Kristian, 1980-09-26, M, FUSSBALL
Mueller, Paul, 1957-08-18, M, SCHWIMMEN
Keller, Niklas, 1978-05-07, M, FECHTEN
Amsel, Ralf, 1929-10-09, M, REITEN
Mueller, Heike, 1932-03-13, F, RADSPORT
Jaeger, Robert, 1963-08-23, M, TANZEN
Schuhmacher, Alexander, 1962-04-22, M, TANZEN
Cole, Melanie, 1990-09-18, F, REITEN
Roth, Sophie, 1924-12-15, F, TURNEN
Freitag, Andrea, 1941-11-19, F, SCHWIMMEN
Kuefer, Lea, 1946-04-02, F, SCHWIMMEN
Schreiber, Andreas, 1938-05-11, M, HANDBALL
Wirth, Dominik, 1923-02-01, M, TURNEN
Kaestner, Marcel, 1964-01-09, M, RUDERN
Herz, Anja, 1930-01-17, F, RADSPORT
Frueh, Maria, 1952-09-28, F, LEICHTATHLETIK
Scholz, Johanna, 1934-01-06, F, RADSPORT
Scherer, Kerstin, 1969-01-30, F, REITEN
Weisz, Matthias, 1957-11-09, M, HANDBALL
Kohl, Philipp, 1952-01-22, M, RUDERN
Fruehauf, Gabriele, 1922-07-02, F, RUDERN
Schneider, Daniel, 1959-08-03, M, FECHTEN
Dreher, Katrin, 1918-07-17, F, RADSPORT
Fenstermacher, Swen, 1977-01-04, M, LEICHTATHLETIK
Eichel, Mathias, 1960-04-05, M, TURNEN
Schmitz, Markus, 1989-08-31, M, SCHWIMMEN
Mehler, Christine, 1991-09-29, F, FECHTEN
Rothschild, Lukas, 1983-08-18, M, RUDERN
Brandt, Christina, 1996-04-02, F, FUSSBALL
Bayer, Niklas, 1934-12-15, M, TURNEN
Braun, Michelle, 1976-02-21, F, TURNEN
Bohm, Christin, 1930-08-08, F, FUSSBALL
Schultheiss, Markus, 1941-01-24, M, SCHWIMMEN
Werfel, Andrea, 1962-06-21, F, RADSPORT
Sanger, Marcel, 1991-11-26, M, HANDBALL
Schwab, Christian, 1977-11-07, M, SCHWIMMEN
Vogel, Gabriele, 1991-02-09, F, REITEN
Bumgarner, Michelle, 1941-05-22, F, FECHTEN
Himmel, Katja, 1971-04-21, F, SCHWIMMEN
Eichel, Ralph, 1946-12-09, M, HANDBALL
Walter, Vanessa, 1997-12-06, F, RADSPORT
Schweitzer, Jonas, 1991-04-12, M, REITEN
Bar, Martin, 1917-11-23, M, HANDBALL
Krueger, Thomas, 1987-04-01, M, TANZEN
Vogler, Steffen, 1986-12-25, M, RADSPORT
Muller, Michael, 1967-10-16, M, TURNEN
Werfel, Lukas, 1965-10-17, M, TURNEN
Nussbaum, Bernd, 1952-11-26, M, RADSPORT
Koch, Barbara, 1993-06-04, F, HANDBALL
Maurer, Stefan, 1951-08-04, M, TURNEN
Lemann, Uwe, 1992-06-09, M, SCHWIMMEN
Waechter, Sven, 1949-12-03, M, FUSSBALL
Kaufmann, Diana, 1986-08-04, F, TURNEN
Kastner, Martina, 1936-11-27, F, LEICHTATHLETIK
Dietrich, Dennis, 1974-11-01, M, HANDBALL
Faust, Klaudia, 1934-06-17, F, SCHWIMMEN
Herzog, Ralf, 1952-05-02, M, LEICHTATHLETIK
Weiss, Marie, 1992-07-30, F, HANDBALL
Braun, Maximilian, 1986-08-28, M, REITEN
Baier, Vanessa, 1997-12-20, F, TANZEN
Egger, Katharina, 1952-10-12, F, FUSSBALL
Keller, Leah, 1933-10-08, F, FUSSBALL
Kaufmann, Anne, 1985-12-13, F, SCHWIMMEN
Kalb, Diana, 1969-03-03, F, RUDERN
Faber, Kristian, 1972-09-23, M, HANDBALL
Meyer, Stefan, 1975-04-03, M, TURNEN
Duerr, Jana, 1936-07-20, F, FUSSBALL
Gaertner, Manuela, 1935-06-16, F, HANDBALL
Weiss, Stefanie, 1926-08-02, F, REITEN
Weisz, Simone, 1981-02-12, F, FUSSBALL
Moeller, Mathias, 1935-01-09, M, FECHTEN
Schiffer, Sara, 1964-11-14, F, TURNEN
Frueh, Marko, 1960-11-18, M, RADSPORT
Zweig, Kathrin, 1957-07-08, F, TANZEN
Werfel, Benjamin, 1941-02-17, M, HANDBALL
Winkel, Mario, 1969-10-25, M, SCHWIMMEN
Ostermann, Matthias, 1988-04-10, M, FUSSBALL
Koertig, Lukas, 1977-06-18, M, TURNEN
Schaefer, Stefanie, 1988-05-02, F, TANZEN
Unger, Tanja, 1947-02-26, F, TANZEN
Nadel, Kevin, 1966-05-10, M, HANDBALL
Daecher, Jana, 1983-09-20, F, FECHTEN
Unger, Franziska, 1952-01-23, F, RUDERN
Jung, Rene, 1989-07-12, M, TANZEN
Gerber, Stephanie, 1920-02-14, F, SCHWIMMEN
Gerste, Ulrich, 1941-05-20, M, FECHTEN
Bachmeier, Bernd, 1952-01-15, M, REITEN
Gottschalk, Marcel, 1936-01-31, M, LEICHTATHLETIK
Jager, Frank, 1918-10-10, M, FUSSBALL
Eisenhower, Barbara, 1988-02-04, F, RADSPORT
Pabst, Angelika, 1935-06-01, F, HANDBALL
Traugott, Joerg, 1970-12-13, M, FUSSBALL
Hartmann, Marko, 1946-08-16, M, REITEN
Kaestner, Jan, 1935-12-09, M, REITEN
Wechsler, Frank, 1932-12-13, M, TURNEN
Neustadt, Andrea, 1973-04-06, F, FECHTEN
Fuerst, Juergen, 1942-04-09, M, HANDBALL
Ostermann, Melanie, 1995-03-20, F, TURNEN
Bergmann, Frank, 1919-12-27, M, TURNEN
Fassbinder, Tom, 1921-04-29, M, TURNEN
Fassbinder, Uwe, 1942-05-26, M, REITEN
Vogt, Christina, 1938-04-10, F, RUDERN
Ackermann, Nicole, 1945-06-03, F, FUSSBALL
Freytag, Sarah, 1944-04-26, F, LEICHTATHLETIK
Freud, Niklas, 1970-04-03, M, REITEN
Schneider, Philipp, 1926-11-12, M, TURNEN
Walter, Leon, 1982-03-27, M, TURNEN
Eiffel, Claudia, 1948-07-07, F, FUSSBALL
Gersten, Ulrich, 1955-02-19, M, SCHWIMMEN
Bergmann, Franziska, 1998-01-09, F, TANZEN
Thalberg, Stefanie, 1972-07-25, F, SCHWIMMEN
Berg, Gabriele, 1942-04-28, F, TANZEN
Baader, Robert, 1936-06-03, M, HANDBALL
Frey, Marina, 1980-06-22, F, SCHWIMMEN
Lehmann, Susanne, 1953-02-14, F, TURNEN
Baumgartner, Anke, 1950-04-18, F, SCHWIMMEN
Papst, Jan, 1973-10-14, M, RADSPORT
Vogt, Patrick, 1927-10-17, M, REITEN
Blau, Kristin, 1937-10-23, F, SCHWIMMEN
Eisenhower, Daniel, 1954-09-16, M, TANZEN
Reiniger, Diana, 1954-05-30, F, HANDBALL
Holtzmann, Uwe, 1987-05-15, M, REITEN
Jager, Klaus, 1938-06-05, M, TANZEN
Traugott, Marko, 1943-06-09, M, SCHWIMMEN
Ritter, Felix, 1962-01-02, M, TURNEN
Weiss, Swen, 1980-09-24, M, RADSPORT
Weisz, Sabine, 1951-11-08, F, REITEN
Frey, Ute, 1963-06-10, F, SCHWIMMEN
Ostermann, Gabriele, 1950-12-18, F, FUSSBALL
Lemann, Phillipp, 1952-02-01, M, SCHWIMMEN
Wannemaker, Mandy, 1982-03-29, F, RADSPORT
Schmitz, Doreen, 1966-11-15, F, SCHWIMMEN
Holtzmann, Christin, 1951-01-27, F, SCHWIMMEN
Jager, Diana, 1933-12-16, F, TURNEN
Farber, Anne, 1957-02-01, F, RADSPORT
Ebersbach, Nicole, 1937-12-09, F, HANDBALL
Barth, Doreen, 1968-09-11, F, FECHTEN
Schwarz, Ulrich, 1964-03-18, M, RUDERN
Fruehauf, Kerstin, 1965-01-11, F, FECHTEN
Richter, Sebastian, 1936-06-03, M, LEICHTATHLETIK
Freitag, Daniela, 1948-11-22, F, FUSSBALL
Reinhardt, Steffen, 1946-11-04, M, HANDBALL
Fisher, Kevin, 1927-07-23, M, RADSPORT
Busch, Sara, 1987-08-17, F, RADSPORT
Austerlitz, Karin, 1928-10-18, F, FUSSBALL
Schroeder, Benjamin, 1987-01-24, M, FECHTEN
Richter, Christina, 1989-09-06, F, TURNEN
Abendroth, Jan, 1937-03-14, M, HANDBALL
Vogt, Tanja, 1995-08-05, F, SCHWIMMEN
Reiniger, David, 1967-05-19, M, REITEN
Vogt, Simone, 1926-01-01, F, HANDBALL
Wurfel, Stefanie, 1997-05-07, F, TURNEN
Baumgartner, Yvonne, 1983-06-26, F, SCHWIMMEN
Cole, Ralf, 1928-03-02, M, FUSSBALL
Farber, Wolfgang, 1967-09-15, M, REITEN
Muench, Antje, 1992-12-03, F, RUDERN
Pfeiffer, Yvonne, 1939-02-01, F, TANZEN
Metzger, Peter, 1922-08-07, M, HANDBALL
Gerber, Gabriele, 1929-04-01, F, LEICHTATHLETIK
Bauer, Sophia, 1998-06-11, F, TANZEN
Schreiner, Lena, 1949-08-07, F, RADSPORT
Hertzog, Maximilian, 1928-03-15, M, LEICHTATHLETIK
Koertig, Manuela, 1982-07-21, F, TURNEN
Eichelberger, Jens, 1920-01-24, M, SCHWIMMEN
Koenig, Stefan, 1947-05-15, M, REITEN
Schaefer, Ulrich, 1936-04-23, M, HANDBALL
Herz, Andreas, 1984-02-17, M, REITEN
Lang, Klaudia, 1922-02-26, F, TURNEN
Rothschild, Marina, 1983-04-04, F, TANZEN
Sanger, Janina, 1954-02-01, F, TANZEN
Faust, Juergen, 1973-03-25, M, HANDBALL
Hoover, Tom, 1925-05-18, M, HANDBALL
Bohm, Klaus, 1972-11-18, M, SCHWIMMEN
Jager, Wolfgang, 1923-09-25, M, HANDBALL
Hertz, Marcel, 1966-01-20, M, HANDBALL
Schmid, Lisa, 1919-08-23, F, FECHTEN
Peters, Christine, 1997-05-17, F, HANDBALL
Meyer, Lea, 1991-12-03, F, RUDERN
Busch, Jessika, 1936-02-14, F, REITEN
Fruehauf, Martin, 1938-01-21, M, RADSPORT
Egger, Lena, 1989-02-24, F, FECHTEN
Gottschalk, Andreas, 1949-08-08, M, HANDBALL
Osterhagen, Anke, 1977-04-22, F, FECHTEN
Baum, Frank, 1987-11-11, M, HANDBALL
Scherer, Marko, 1964-05-03, M, SCHWIMMEN
Dresdner, Christina, 1926-04-13, F, SCHWIMMEN
Kohler, Frank, 1990-07-30, M, FUSSBALL
Kastner, Felix, 1923-01-02, M, TANZEN
Kaiser, David, 1928-11-10, M, FUSSBALL
Kunze, Kerstin, 1979-05-26, F, TURNEN
Hueber, Peter, 1940-09-25, M, TANZEN
Boehm, Bernd, 1965-12-28, M, HANDBALL
Austerlitz, Ute, 1979-07-21, F, REITEN
Abendroth, Marina, 1969-04-27, F, HANDBALL
Meier, Dennis, 1983-04-09, M, REITEN
Aachen, Jessica, 1979-11-05, F, LEICHTATHLETIK
Seiler, Lucas, 1970-06-28, M, REITEN
Fischer, Melanie, 1959-12-07, F, RADSPORT
Schulze, Mike, 1997-08-04, M, TANZEN
Kortig, Sandra, 1954-03-09, F, REITEN
Huber, Jonas, 1943-05-24, M, TANZEN
Koehler, Mike, 1921-12-22, M, FECHTEN
Koch, Luca, 1968-08-13, M, TANZEN
Reiniger, Monika, 1998-12-16, F, TANZEN
Eichel, Yvonne, 1967-02-14, F, LEICHTATHLETIK
Hertzog, Dennis, 1933-01-30, M, TANZEN
Ebersbach, Lukas, 1920-01-18, M, RADSPORT
Bader, Katja, 1982-04-22, F, HANDBALL
Schreiner, David, 1984-04-24, M, HANDBALL
Schmid, Thorsten, 1934-02-26, M, RADSPORT
Baer, Dennis, 1934-01-25, M, HANDBALL
Frei, Stefanie, 1925-01-31, F, RADSPORT
Osterhagen, Klaus, 1948-08-16, M, REITEN
Schuster, Niklas, 1969-08-28, M, LEICHTATHLETIK
Kirsch, Laura, 1996-11-30, F, HANDBALL
Kastner, Wolfgang, 1948-06-25, M, RADSPORT
Schmid, Torsten, 1993-10-22, M, HANDBALL
Ebersbach, Annett, 1928-10-30, F, HANDBALL
Ackermann, Kerstin, 1975-11-13, F, TANZEN
Baier, Stefanie, 1932-01-21, F, HANDBALL
Meier, Stephanie, 1957-07-20, F, FECHTEN
Kirsch, Sabine, 1943-08-21, F, HANDBALL
Schaefer, Jessica, 1963-04-12, F, LEICHTATHLETIK
Sanger, Juergen, 1939-11-03, M, RADSPORT
Huber, Christine, 1981-09-02, F, RUDERN
Lowe, Paul, 1943-02-23, M, TANZEN
Koehler, Heike, 1930-05-19, F, FUSSBALL
Buerger, Franziska, 1938-05-04, F, TANZEN
Kirsch, Katharina, 1942-04-15, F, RUDERN
Abt, Sophia, 1978-02-15, F, FECHTEN
Kuester, Sabine, 1950-05-04, F, LEICHTATHLETIK
Wurfel, Christian, 1967-07-10, M, REITEN
Meister, Jan, 1918-01-23, M, RADSPORT
Eisenhower, Angelika, 1920-10-03, F, REITEN
Faust, Stefan, 1956-08-11, M, TANZEN
Mayer, Martin, 1984-08-21, M, FECHTEN
Weissmuller, Lena, 1975-08-01, F, SCHWIMMEN
Abendroth, Marko, 1999-02-27, M, LEICHTATHLETIK
Fuchs, Max, 1975-04-27, M, LEICHTATHLETIK
Nagel, Maik, 1932-04-20, M, LEICHTATHLETIK
Moeller, Maik, 1994-05-31, M, LEICHTATHLETIK
Pfeffer, Brigitte, 1929-05-14, F, RUDERN
Fisher, Katja, 1930-05-17, F, FUSSBALL
Abendroth, Peter, 1963-10-25, M, REITEN
Koehler, Patrick, 1979-07-18, M, RADSPORT
Cole, Tobias, 1970-12-04, M, FUSSBALL
Drescher, Anna, 1964-10-25, F, REITEN
Maier, Mathias, 1944-07-10, M, RADSPORT
Schuhmacher, Ulrich, 1991-08-13, M, FUSSBALL
Scherer, Erik, 1934-10-06, M, TANZEN
Saenger, Steffen, 1970-11-20, M, HANDBALL
Kuster, Michael, 1954-01-09, M, RADSPORT
Ebersbach, Manuela, 1935-11-12, F, LEICHTATHLETIK
Oster, Tanja, 1974-09-23, F, RUDERN
Pfeifer, Maria, 1987-07-31, F, RUDERN
Finkel, Katrin, 1970-07-12, F, HANDBALL
Egger, Jan, 1953-03-08, M, FUSSBALL
Junker, Dominik, 1946-07-26, M, RADSPORT
Eisenhower, Stephanie, 1933-04-05, F, RADSPORT
Brandt, Lisa, 1935-03-19, F, RADSPORT
Engel, Jonas, 1988-07-20, M, REITEN
Schweizer, Martin, 1941-09-04, M, RADSPORT
Ebersbacher, Juliane, 1996-02-24, F, RADSPORT
Nadel, Kevin, 1922-12-27, M, RADSPORT
Faber, Martina, 1965-05-11, F, HANDBALL
Wolf, Jan, 1986-08-28, M, REITEN
Kuefer, Ulrike, 1972-06-15, F, TURNEN
Sanger, Sophie, 1973-05-29, F, RUDERN
Abendroth, Ines, 1997-08-02, F, FUSSBALL
Walter, Phillipp, 1921-02-04, M, HANDBALL
Ackermann, Peter, 1950-11-20, M, TURNEN
Weber, Lena, 1983-07-11, F, TANZEN
Finkel, Peter, 1990-07-19, M, RUDERN
Moeller, Patrick, 1981-08-12, M, SCHWIMMEN
Bergmann, Andreas, 1932-07-03, M, REITEN
Eiffel, Patrick, 1937-05-30, M, TURNEN
Krause, Dieter, 1984-04-30, M, RADSPORT
Brauer, Mike, 1927-04-11, M, TURNEN
Foerster, Marko, 1933-09-28, M, REITEN
Fuhrmann, Tim, 1961-04-29, M, TANZEN
Weisz, Dennis, 1942-05-12, M, FECHTEN
Herzog, Bernd, 1970-05-31, M, RUDERN
Bader, Andreas, 1942-10-30, M, RADSPORT
Reinhardt, Brigitte, 1985-08-30, F, RUDERN
Gloeckner, Heike, 1921-02-14, F, TURNEN
Probst, Maximilian, 1944-05-09, M, RADSPORT
Kruger, Felix, 1988-02-24, M, REITEN
Schulze, Maik, 1920-05-25, M, FUSSBALL
Ackerman, Tobias, 1934-12-25, M, HANDBALL
Seiler, Claudia, 1979-02-16, F, SCHWIMMEN
Hoffmann, Leah, 1950-07-03, F, RUDERN
Trommler, Steffen, 1943-02-13, M, HANDBALL
Durr, Laura, 1996-02-24, F, REITEN
Saenger, Laura, 1963-04-06, F, FUSSBALL
Gaertner, Gabriele, 1970-10-13, F, LEICHTATHLETIK
Neumann, Yvonne, 1929-11-15, F, FUSSBALL
Schulze, Anna, 1962-07-12, F, FECHTEN
Becker, Barbara, 1952-02-04, F, REITEN
Schuster, Lukas, 1933-12-13, M, REITEN
Schuster, Uta, 1997-01-12, F, RADSPORT
Jung, Klaus, 1975-01-31, M, RUDERN
Schreiner, Martin, 1922-06-09, M, HANDBALL
Hartmann, Alexander, 1991-01-06, M, REITEN
Bohm, Mathias, 1941-09-12, M, FECHTEN
Klug, Barbara, 1932-01-30, F, FUSSBALL
Holzman, Sabine, 1991-02-15, F, SCHWIMMEN
Meier, Claudia, 1947-06-12, F, FECHTEN
Schuhmacher, Janina, 1966-11-19, F, TANZEN
Moeller, Erik, 1979-08-23, M, TANZEN
Roth, Lukas, 1928-04-23, M, REITEN
Beike, Christian, 1962-07-24, M, FECHTEN
Gaertner, Simone, 1950-10-16, F, HANDBALL
Naumann, Juliane, 1964-10-08, F, FUSSBALL
Frankfurter, Marcel, 1920-12-18, M, REITEN
Maier, Ulrich, 1988-10-04, M, HANDBALL
Adler, Nicole, 1980-05-19, F, HANDBALL
Shuster, Daniel, 1935-04-24, M, REITEN
Schwarz, David, 1956-10-31, M, FECHTEN
Eiffel, Marco, 1974-06-16, M, REITEN
Pfeifer, Swen, 1919-06-03, M, LEICHTATHLETIK
Pabst, Peter, 1971-08-23, M, FECHTEN
Kuefer, Angelika, 1969-12-13, F, SCHWIMMEN
Pfeffer, Sophia, 1938-11-20, F, HANDBALL
Abend, Lena, 1964-11-21, F, RUDERN
Baum, Robert, 1940-06-30, M, TURNEN
Fuerst, Dennis, 1975-10-22, M, HANDBALL
Schuster, Steffen, 1963-11-20, M, HANDBALL
Maur, Mario, 1968-12-22, M, RADSPORT
Berg, Jonas, 1952-11-21, M, SCHWIMMEN
Baer, Klaus, 1944-08-28, M, TANZEN
Zimmerman, Wolfgang, 1997-01-06, M, RUDERN
Schultz, Niklas, 1953-04-11, M, LEICHTATHLETIK
Reinhardt, Tom, 1973-10-01, M, LEICHTATHLETIK
Dresner, Laura, 1934-08-14, F, TANZEN
Schroder, Nadine, 1929-06-06, F, LEICHTATHLETIK
Gaertner, Lisa, 1954-03-02, F, TANZEN
Neustadt, Leonie, 1943-09-29, F, RADSPORT
Zweig, Stefan, 1950-12-08, M, TURNEN
Probst, Ulrich, 1985-02-23, M, RADSPORT
Gloeckner, Max, 1924-06-27, M, FUSSBALL
Schuster, Stefanie, 1933-12-09, F, SCHWIMMEN
Mehler, Ulrich, 1966-12-26, M, RADSPORT
Pabst, Felix, 1979-10-09, M, FUSSBALL
Huber, Maik, 1982-01-04, M, FECHTEN
Frankfurter, Ralph, 1984-03-07, M, TURNEN
Urner, Martina, 1936-01-30, F, FUSSBALL
Zimmerman, Klaus, 1992-04-29, M, FECHTEN
Koertig, Kathrin, 1995-09-22, F, RUDERN
Blau, Uwe, 1931-11-01, M, LEICHTATHLETIK
Bumgarner, Anke, 1930-09-14, F, TURNEN
Koehler, Leah, 1975-11-25, F, FUSSBALL
Ebersbach, Dirk, 1983-06-26, M, RADSPORT
Koehler, Nicole, 1979-11-08, F, TURNEN
Koenig, Lea, 1923-09-19, F, TURNEN
Gruenewald, Andreas, 1972-08-19, M, SCHWIMMEN
Schreiber, Matthias, 1920-06-09, M, SCHWIMMEN
Gerber, Leonie, 1917-10-14, F, REITEN
Gerber, Jan, 1949-04-08, M, LEICHTATHLETIK
Neudorf, David, 1945-03-24, M, RADSPORT
Baecker, Anna, 1948-08-14, F, REITEN
Durr, Johanna, 1938-10-26, F, TURNEN
Becker, Katja, 1956-08-23, F, RUDERN
Bosch, Ralph, 1935-11-15, M, TANZEN
Kuhn, Paul, 1921-03-06, M, RADSPORT
Himmel, Ralph, 1996-07-13, M, RADSPORT
Neudorf, Lea, 1951-09-24, F, TURNEN
Krueger, Ralph, 1926-08-24, M, LEICHTATHLETIK
Meister, Simone, 1962-11-26, F, HANDBALL
Sankt, Klaudia, 1938-02-20, F, TANZEN
Fuerst, Anne, 1941-06-07, F, TANZEN
Sankt, Lena, 1961-11-13, F, FECHTEN
Werfel, Maik, 1987-10-04, M, SCHWIMMEN
Grunwald, Leonie, 1990-03-02, F, SCHWIMMEN
Probst, Julia, 1992-02-23, F, RUDERN
Herman, Frank, 1995-10-31, M, REITEN
Holtzmann, Max, 1970-06-16, M, SCHWIMMEN
Zweig, Marko, 1957-10-03, M, LEICHTATHLETIK
Ackerman, Barbara, 1985-12-18, F, RUDERN
Nacht, Erik, 1956-03-05, M, TANZEN
Herz, Mike, 1920-03-10, M, TURNEN
Holtzmann, Annett, 1993-10-13, F, FUSSBALL
Walter, Sandra, 1950-01-06, F, TANZEN
Werner, Frank, 1927-09-02, M, RUDERN
Ziegler, Uwe, 1937-09-08, M, TURNEN
Foerster, Yvonne, 1963-08-04, F, REITEN
Ackermann, Melanie, 1918-06-28, F, SCHWIMMEN
Brauer, Janina, 1988-03-03, F, LEICHTATHLETIK
Rothstein, Sara, 1983-04-19, F, TURNEN
Jaeger, Daniela, 1977-01-03, F, FECHTEN
Fassbinder, Steffen, 1936-11-22, M, SCHWIMMEN
Schmidt, Joerg, 1993-12-19, M, TURNEN
Barth, Anja, 1996-12-31, F, FECHTEN
Pfeffer, Lucas, 1970-11-08, M, RADSPORT
Gaertner, Leah, 1936-08-25, F, FECHTEN
Zweig, Mathias, 1986-12-09, M, TURNEN
Koch, Rene, 1953-10-19, M, FUSSBALL
Bauer, Martina, 1963-12-02, F, SCHWIMMEN
Kohl, Benjamin, 1921-07-04, M, LEICHTATHLETIK
Bauer, Andrea, 1963-12-25, F, LEICHTATHLETIK
Lemann, Wolfgang, 1985-11-10, M, REITEN
Reiniger, Jens, 1993-08-13, M, RADSPORT
Fisher, Phillipp, 1954-01-29, M, FECHTEN
Gersten, Katja, 1919-04-16, F, TURNEN
Eberhart, Patrick, 1971-07-03, M, SCHWIMMEN
Amsel, Sebastian, 1934-08-16, M, RUDERN
Bach, Jessika, 1987-09-15, F, LEICHTATHLETIK
Baum, Eric, 1924-08-13, M, TANZEN
Kaiser, Patrick, 1995-06-12, M, FUSSBALL
Gruenewald, Thomas, 1968-08-02, M, LEICHTATHLETIK
Koch, Jan, 1989-06-08, M, HANDBALL
Weissmuller, Christina, 1995-07-05, F, RADSPORT
Schmidt, Mario, 1921-09-04, M, HANDBALL
Baumgartner, Leah, 1959-10-15, F, FUSSBALL
Richter, Leah, 1991-05-23, F, RUDERN
Kuhn, Erik, 1989-07-01, M, REITEN
Werfel, Monika, 1938-11-15, F, SCHWIMMEN
Werfel, Sabrina, 1942-01-06, F, TURNEN
Hirsch, Stephan, 1947-11-06, M, FECHTEN
Gloeckner, Wolfgang, 1957-04-30, M, REITEN
Meyer, Kerstin, 1989-03-31, F, FUSSBALL
Fischer, Anke, 1947-02-28, F, RADSPORT
Ebersbacher, Mandy, 1957-10-01, F, TANZEN
Eisenhower, Karolin, 1922-09-01, F, LEICHTATHLETIK
Werfel, Frank, 1967-01-22, M, RUDERN
Dresdner, Felix, 1953-04-10, M, FECHTEN
Wolf, Paul, 1954-01-20, M, HANDBALL
Pfeffer, Jennifer, 1920-09-30, F, FUSSBALL
Schaefer, Torsten, 1990-12-06, M, REITEN
Bauer, Annett, 1925-03-13, F, FUSSBALL
Neustadt, Tanja, 1929-12-13, F, RUDERN
Himmel, Felix, 1962-03-19, M, REITEN
Herrmann, Mathias, 1998-06-05, M, REITEN
Ziegler, Nicole, 1969-02-04, F, RADSPORT
Ebersbach, Wolfgang, 1919-08-05, M, FECHTEN
Bieber, Kristin, 1923-11-07, F, RUDERN
Gaertner, Kristian, 1972-04-16, M, RADSPORT
Waechter, Torsten, 1998-08-27, M, TANZEN
Friedmann, Katrin, 1977-02-16, F, FECHTEN
