Abt, Andreas, 1944-01-02, M, REITEN
Baecker, Birgit, 1961-02-04, F, LEICHTATHLETIK
Baumgaertner, Barbara, 1997-02-04, F, REITEN
Bauer, Birgit, 1926-05-05, F, RUDERN
Biermann, Brigitte, 1942-05-05, F, FUSSBALL
Bieber, Benjamin, 1956-07-05, M, FUSSBALL
Boehm, Benjamin, 1981-07-05, M, FECHTEN
Bergmann, Benjamin, 1985-07-05, M, TANZEN
Brauer, Birgit, 1931-10-06, F, RADSPORT
Beike, Barbara, 1997-08-11, F, LEICHTATHLETIK
Berg, Barbara, 1929-12-12, F, TANZEN
Bachmeier, Benjamin, 1954-12-12, M, FECHTEN
Bachmeier, Bernd, 1952-01-15, M, REITEN
Baumgaertner, Brigitte, 1981-01-15, F, FECHTEN
Bumgarner, Benjamin, 1984-06-16, M, TURNEN
Baumgartner, Brigitte, 1927-08-16, F, TURNEN
Burger, Birgit, 1969-11-17, F, REITEN
Bar, Birgit, 1970-11-17, F, TANZEN
Beckenbauer, Benjamin, 1923-06-21, M, REITEN
Berg, Birgit, 1920-11-22, F, RADSPORT
Burger, Brigitte, 1930-11-22, F, FUSSBALL
Becker, Benjamin, 1980-11-22, M, LEICHTATHLETIK
Brandt, Birgit, 1927-07-27, F, TURNEN
Baecker, Brigitte, 1956-07-27, F, LEICHTATHLETIK
Brauer, Birgit, 1969-07-27, F, SCHWIMMEN
Baumgaertner, Brigitte, 1941-12-28, F, REITEN
Boehm, Bernd, 1965-12-28, M, HANDBALL
Beckenbauer, Barbara, 1942-01-31, F, LEICHTATHLETIK
Baer, Christina, 1937-01-01, F, FUSSBALL
Bach, Christian, 1921-04-02, M, HANDBALL
Brandt, Christina, 1996-04-02, F, FUSSBALL
Bieber, Claudia, 1947-05-02, F, FECHTEN
Baecker, Claudia, 1942-06-02, F, REITEN
Brandt, Claudia, 1990-09-03, F, SCHWIMMEN
Baumgaertner, Christina, 1924-10-03, F, FECHTEN
Busch, Christina, 1988-11-03, F, REITEN
Bohm, Christin, 1930-08-08, F, FUSSBALL
Baum, Christine, 1976-08-08, F, LEICHTATHLETIK
Brauer, Christine, 1994-08-08, F, TANZEN
Bar, Claudia, 1926-09-08, F, SCHWIMMEN
Braun, Claudia, 1978-09-08, F, TANZEN
Becker, Claudia, 1937-12-09, F, REITEN
Brandt, Claudia, 1958-12-09, F, HANDBALL
Bayer, Claudia, 1969-02-12, F, SCHWIMMEN
Baer, Christine, 1977-02-12, F, REITEN
Bach, Claudia, 1949-06-13, F, SCHWIMMEN
Becker, Christian, 1964-06-13, M, SCHWIMMEN
Bergmann, Christina, 1982-07-13, F, LEICHTATHLETIK
Baumgaertner, Christina, 1929-10-14, F, REITEN
Burger, Christine, 1935-10-14, F, SCHWIMMEN
Bader, Christina, 1929-11-14, F, FECHTEN
Braun, Christin, 1945-11-14, F, HANDBALL
Berg, Christine, 1965-11-14, F, SCHWIMMEN
Brandt, Christin, 1931-12-14, F, HANDBALL
Bader, Christin, 1994-03-18, F, RUDERN
Bader, Christine, 1999-04-18, F, FUSSBALL
Baumgartner, Christine, 1965-10-19, F, RADSPORT
Berg, Christin, 1944-01-23, F, RADSPORT
Beckenbauer, Christian, 1977-03-23, M, RADSPORT
Beike, Christian, 1962-07-24, M, FECHTEN
Bader, Claudia, 1923-11-25, F, LEICHTATHLETIK
Becker, Christin, 1955-01-28, F, LEICHTATHLETIK
Bieber, Christina, 1968-05-29, F, RADSPORT
Baader, Christin, 1990-05-29, F, REITEN
Barth, Christin, 1967-06-29, F, RADSPORT
Bohm, Christina, 1976-06-29, F, LEICHTATHLETIK
Brauer, Christin, 1981-06-29, F, LEICHTATHLETIK
Baier, Christian, 1931-09-30, M, HANDBALL
Bosch, Christina, 1952-09-30, F, TURNEN
Braun, Christina, 1993-09-30, F, TURNEN
Baier, Christina, 1989-10-30, F, LEICHTATHLETIK
Boehm, Christin, 1990-10-30, F, RUDERN
Bieber, Claudia, 1933-11-30, F, TANZEN
Buerger, Claudia, 1996-11-30, F, FUSSBALL
Bergmann, Dirk, 1942-01-04, M, LEICHTATHLETIK
Boehm, Dieter, 1977-03-04, M, LEICHTATHLETIK
Beyer, David, 1922-04-04, M, LEICHTATHLETIK
Bader, Doreen, 1944-04-04, F, FUSSBALL
Blau, Dieter, 1950-04-04, M, TURNEN
Bachmeier, Dominik, 1953-04-04, M, LEICHTATHLETIK
Baer, Doreen, 1955-04-04, F, TURNEN
Bachmeier, Dennis, 1960-06-05, M, SCHWIMMEN
Becker, Daniel, 1987-06-05, M, REITEN
Bieber, Doreen, 1935-08-05, F, RUDERN
Baecker, Daniela, 1969-08-05, F, REITEN
Baumgaertner, Dominik, 1922-09-05, M, SCHWIMMEN
Baum, Dieter, 1952-09-05, M, HANDBALL
Barth, Daniela, 1963-09-05, F, SCHWIMMEN
Baecker, Doreen, 1976-09-05, F, FECHTEN
Baumgaertner, Doreen, 1992-09-05, F, TURNEN
Busch, Dieter, 1971-11-06, M, RADSPORT
Beike, David, 1975-11-06, M, TANZEN
Brandt, Diana, 1995-11-06, F, SCHWIMMEN
Busch, Dirk, 1940-01-09, M, LEICHTATHLETIK
Baader, Dieter, 1919-02-09, M, FUSSBALL
Bayer, Diana, 1983-02-09, F, TANZEN
Berg, Dirk, 1930-04-10, M, TURNEN
Brauer, David, 1933-04-10, M, REITEN
Berg, Dirk, 1979-04-10, M, TURNEN
Bosch, David, 1923-06-10, M, REITEN
Bergmann, Daniela, 1933-06-10, F, RADSPORT
Baader, Dennis, 1952-07-10, M, FUSSBALL
Bumgarner, Daniel, 1938-09-11, M, LEICHTATHLETIK
Barth, Doreen, 1968-09-11, F, FECHTEN
Bayer, Daniela, 1987-11-11, F, LEICHTATHLETIK
Bachmeier, Dominik, 1951-02-15, M, FUSSBALL
Brauer, David, 1990-02-15, M, RUDERN
Baum, Doreen, 1991-02-15, F, FUSSBALL
Baecker, Dennis, 1923-05-15, M, RADSPORT
Beike, Doreen, 1982-05-15, F, FUSSBALL
Bach, David, 1918-07-16, M, FUSSBALL
Bader, Dirk, 1923-09-16, M, RADSPORT
Baer, Daniel, 1984-10-16, M, RUDERN
Bieber, Dominik, 1985-10-16, M, RUDERN
Bayer, Diana, 1938-12-17, F, LEICHTATHLETIK
Buerger, Doreen, 1920-01-20, F, RADSPORT
Beike, Dieter, 1956-01-20, M, RADSPORT
Busch, Dieter, 1981-02-20, M, TANZEN
Blau, Daniela, 1954-03-20, F, LEICHTATHLETIK
Baum, Dirk, 1940-05-21, M, LEICHTATHLETIK
Bar, Daniel, 1958-05-21, M, LEICHTATHLETIK
Biermann, David, 1998-05-21, M, TURNEN
Burger, Daniel, 1971-07-21, M, TANZEN
Baier, Dominik, 1917-08-21, M, TANZEN
Beckenbauer, Diana, 1946-10-22, F, SCHWIMMEN
Becker, Daniel, 1957-10-22, M, RADSPORT
Baer, Daniel, 1980-10-22, M, RADSPORT
Bach, Daniel, 1986-12-22, M, RADSPORT
Baer, Dennis, 1934-01-25, M, HANDBALL
Bach, Dirk, 1949-01-25, M, HANDBALL
Blau, Dennis, 1934-05-26, M, HANDBALL
Baer, Dirk, 1948-05-26, M, SCHWIMMEN
Beyer, Doreen, 1984-05-26, F, RADSPORT
Blau, Dieter, 1918-06-26, M, LEICHTATHLETIK
Brauer, Dennis, 1921-06-26, M, TANZEN
Berg, Doreen, 1925-06-26, F, HANDBALL
Baier, Dieter, 1927-08-27, M, RADSPORT
Bieber, David, 1930-10-27, M, SCHWIMMEN
Baum, David, 1957-10-27, M, FECHTEN
Bieber, Dominik, 1920-11-27, M, TURNEN
Becker, Daniel, 1933-11-27, M, REITEN
Bayer, Diana, 1979-11-27, F, REITEN
Bachmeier, Daniela, 1991-11-27, F, HANDBALL
Baum, Doreen, 1978-01-31, F, RUDERN
Braun, Dennis, 1971-03-31, M, SCHWIMMEN
Busch, Daniel, 1983-03-31, M, HANDBALL
Bergmann, Erik, 1985-01-01, M, RUDERN
Braun, Eric, 1981-02-01, M, TURNEN
Bieber, Eric, 1939-06-02, M, SCHWIMMEN
Beike, Eric, 1974-07-02, M, RADSPORT
Baer, Eric, 1961-10-03, M, FECHTEN
Baier, Erik, 1930-04-07, M, HANDBALL
Bar, Erik, 1995-09-08, M, TURNEN
Bohm, Eric, 1926-10-08, M, RUDERN
Baum, Erik, 1936-10-08, M, RUDERN
Brandt, Erik, 1988-10-08, M, FUSSBALL
Beike, Eric, 1973-11-08, M, HANDBALL
Boehm, Erik, 1957-04-12, M, RUDERN
Baum, Eric, 1924-08-13, M, TANZEN
Baader, Eric, 1942-09-13, M, HANDBALL
Bumgarner, Eric, 1965-09-13, M, LEICHTATHLETIK
Beich, Eric, 1954-11-14, M, REITEN
Bayer, Eric, 1929-05-18, M, SCHWIMMEN
Bauer, Erik, 1930-07-18, M, TURNEN
Baer, Eric, 1946-04-23, M, RADSPORT
Barth, Erik, 1951-09-24, M, FUSSBALL
Braun, Erik, 1932-10-24, M, REITEN
Baer, Erik, 1982-08-29, M, HANDBALL
Becker, Erik, 1986-12-30, M, FUSSBALL
Busch, Florian, 1980-03-04, M, FECHTEN
Bohm, Frank, 1924-05-04, M, HANDBALL
Buerger, Franziska, 1938-05-04, F, TANZEN
Berg, Franziska, 1920-09-05, F, LEICHTATHLETIK
Baader, Frank, 1946-09-05, M, TURNEN
Bergmann, Franziska, 1998-01-09, F, TANZEN
Baecker, Felix, 1960-03-09, M, RUDERN
Boehm, Frank, 1998-03-09, M, FUSSBALL
Barth, Felix, 1996-06-10, M, TANZEN
Berg, Florian, 1926-08-10, M, RUDERN
Baum, Frank, 1987-11-11, M, HANDBALL
Biermann, Franziska, 1931-12-11, F, RUDERN
Blau, Frank, 1953-01-14, M, RUDERN
Biermann, Frank, 1990-04-15, M, SCHWIMMEN
Busch, Florian, 1917-06-15, M, HANDBALL
Braun, Florian, 1990-09-16, M, HANDBALL
Beyer, Franziska, 1974-10-16, F, FUSSBALL
Baader, Franziska, 1985-10-16, F, TURNEN
Bar, Florian, 1923-11-16, M, RADSPORT
Busch, Felix, 1935-11-16, M, FECHTEN
Baier, Felix, 1939-02-20, M, RADSPORT
Bader, Frank, 1943-02-20, M, FUSSBALL
Bauer, Frank, 1952-02-20, M, FUSSBALL
Brandt, Florian, 1979-02-20, M, RADSPORT
Bader, Frank, 1982-02-20, M, FECHTEN
Becker, Felix, 1942-07-21, M, RUDERN
Buerger, Franziska, 1972-07-21, F, HANDBALL
Burger, Frank, 1967-09-21, M, RADSPORT
Biermann, Franziska, 1922-02-25, F, LEICHTATHLETIK
Baader, Franziska, 1989-02-25, F, RUDERN
Bergmann, Frank, 1971-05-26, M, LEICHTATHLETIK
Barth, Florian, 1976-07-26, M, TURNEN
Bergmann, Frank, 1919-12-27, M, TURNEN
Biermann, Franziska, 1921-03-31, F, FECHTEN
Bader, Florian, 1995-05-31, M, HANDBALL
Bieber, Gabriele, 1918-02-01, F, FUSSBALL
Bieber, Gabriele, 1949-06-07, F, FUSSBALL
Baumgartner, Gabriele, 1983-10-08, F, REITEN
Braun, Gabriele, 1998-11-08, F, HANDBALL
Baier, Gabriele, 1999-03-12, F, FECHTEN
Brauer, Gabriele, 1932-05-12, F, TANZEN
Bieber, Gabriele, 1999-01-17, F, LEICHTATHLETIK
Brauer, Gabriele, 1931-04-17, F, FECHTEN
Bieber, Gabriele, 1949-04-17, F, HANDBALL
Boehm, Gabriele, 1928-06-18, F, FUSSBALL
Biermann, Gabriele, 1947-06-23, F, TANZEN
Berg, Gabriele, 1942-04-28, F, TANZEN
Bauer, Gabriele, 1943-04-28, F, HANDBALL
Bieber, Gabriele, 1986-05-28, F, LEICHTATHLETIK
Berg, Heike, 1991-07-04, F, RUDERN
Boehm, Heike, 1981-12-05, F, REITEN
Beich, Heike, 1936-04-09, F, FECHTEN
Beckenbauer, Heike, 1997-12-11, F, TURNEN
Buerger, Heike, 1984-07-15, F, RUDERN
Brandt, Heike, 1962-10-16, F, SCHWIMMEN
Boehm, Heike, 1951-10-21, F, SCHWIMMEN
Beckenbauer, Heike, 1987-10-21, F, RUDERN
Bohm, Heike, 1981-09-26, F, SCHWIMMEN
Barth, Heike, 1957-01-30, F, LEICHTATHLETIK
Baumgaertner, Ines, 1943-10-13, F, SCHWIMMEN
Baum, Ines, 1919-04-17, F, LEICHTATHLETIK
Buerger, Ines, 1938-06-28, F, TANZEN
Baecker, Jessica, 1918-01-03, F, TURNEN
Blau, Juliane, 1928-01-03, F, FUSSBALL
Bauer, Joerg, 1954-01-03, M, RADSPORT
Bader, Johanna, 1980-01-03, F, TURNEN
Blau, Jennifer, 1934-02-03, F, TURNEN
Bumgarner, Joerg, 1947-02-03, M, SCHWIMMEN
Bader, Julia, 1962-02-03, F, RADSPORT
Bumgarner, Juliane, 1938-03-03, F, SCHWIMMEN
Brauer, Janina, 1988-03-03, F, LEICHTATHLETIK
Baum, Juergen, 1992-03-03, M, FUSSBALL
Busch, Julia, 1921-04-03, F, HANDBALL
Baumgartner, Julia, 1957-04-03, F, LEICHTATHLETIK
Brandt, Jana, 1963-04-03, F, RUDERN
Baumgartner, Joerg, 1965-04-03, M, RADSPORT
Bar, Jessica, 1927-07-04, F, LEICHTATHLETIK
Buerger, Jens, 1934-07-04, M, TURNEN
Burger, Julia, 1971-07-04, F, SCHWIMMEN
Brandt, Jana, 1971-08-04, F, RUDERN
Baecker, Jens, 1994-08-04, M, SCHWIMMEN
Brauer, Juergen, 1938-12-05, M, SCHWIMMEN
Beike, Jan, 1962-12-05, M, RUDERN
Boehm, Joerg, 1968-12-05, M, FUSSBALL
Busch, Janina, 1988-12-05, F, LEICHTATHLETIK
Bergmann, Juergen, 1928-01-08, M, RADSPORT
Baer, Juliane, 1949-01-08, F, FECHTEN
Bar, Jan, 1978-01-08, M, RADSPORT
Beike, Jessica, 1927-02-08, F, TURNEN
Berg, Jan, 1947-02-08, M, SCHWIMMEN
Bergmann, Juergen, 1987-02-08, M, FUSSBALL
Baer, Joerg, 1947-05-09, M, SCHWIMMEN
Boehm, Jessika, 1965-05-09, F, SCHWIMMEN
Bayer, Jessika, 1970-05-09, F, HANDBALL
Burger, Julia, 1978-05-09, F, FECHTEN
Brauer, Jonas, 1927-06-09, M, SCHWIMMEN
Bohm, Joerg, 1979-06-09, M, RUDERN
Beckenbauer, Johanna, 1928-07-09, F, LEICHTATHLETIK
Biermann, Joerg, 1953-07-09, M, LEICHTATHLETIK
Beike, Jessika, 1959-07-09, F, TANZEN
Bayer, Joerg, 1978-11-10, M, RADSPORT
Baumgaertner, Juergen, 1984-11-10, M, LEICHTATHLETIK
Busch, Jessika, 1936-02-14, F, REITEN
Beike, Jens, 1990-02-14, M, TURNEN
Barth, Juergen, 1997-02-14, M, RUDERN
Brandt, Jan, 1926-03-14, M, RADSPORT
Baecker, Juergen, 1979-03-14, M, LEICHTATHLETIK
Brandt, Jonas, 1986-03-14, M, REITEN
Baader, Jens, 1935-04-14, M, FUSSBALL
Beckenbauer, Janina, 1962-04-14, F, TURNEN
Barth, Joerg, 1978-04-14, M, RADSPORT
Baader, Janina, 1945-05-14, F, HANDBALL
Boehm, Joerg, 1976-05-14, M, TURNEN
Beich, Jan, 1998-05-14, M, FECHTEN
Bieber, Julia, 1918-08-15, F, TURNEN
Burger, Jens, 1929-08-15, M, TURNEN
Buerger, Janina, 1976-08-15, F, RUDERN
Baer, Jessica, 1995-08-15, F, FUSSBALL
Braun, Joerg, 1918-09-15, M, REITEN
Bach, Jessika, 1987-09-15, F, LEICHTATHLETIK
Baumgaertner, Johanna, 1958-01-19, F, FUSSBALL
Braun, Johanna, 1965-01-19, F, FECHTEN
Burger, Jens, 1938-03-19, M, HANDBALL
Burger, Jennifer, 1980-03-19, F, TANZEN
Busch, Juergen, 1982-03-19, M, RADSPORT
Bachmeier, Johanna, 1989-03-19, F, HANDBALL
Bohm, Joerg, 1997-03-19, M, TURNEN
Brandt, Jessika, 1921-06-20, F, TURNEN
Baader, Johanna, 1944-06-20, F, HANDBALL
Baum, Julia, 1949-06-20, F, TANZEN
Beckenbauer, Juergen, 1977-06-20, M, FECHTEN
Boehm, Joerg, 1998-06-20, M, TANZEN
Braun, Joerg, 1952-07-20, M, FECHTEN
Busch, Jonas, 1988-07-20, M, LEICHTATHLETIK
Beich, Jens, 1954-08-20, M, HANDBALL
Buerger, Jessica, 1959-08-20, F, REITEN
Bauer, Jessica, 1973-08-20, F, RUDERN
Burger, Jana, 1990-08-20, F, TANZEN
Bayer, Joerg, 1995-08-20, M, TANZEN
Berg, Jonas, 1952-11-21, M, SCHWIMMEN
Braun, Jessika, 1984-11-21, F, RADSPORT
Beich, Johanna, 1923-01-24, F, HANDBALL
Beyer, Jessica, 1953-01-24, F, TANZEN
Bar, Juergen, 1955-01-24, M, LEICHTATHLETIK
Beckenbauer, Janina, 1941-03-25, F, FUSSBALL
Brandt, Janina, 1973-03-25, F, LEICHTATHLETIK
Bumgarner, Jessica, 1986-03-25, F, SCHWIMMEN
Beckenbauer, Jens, 1963-04-25, M, TANZEN
Bieber, Jana, 1947-05-25, F, LEICHTATHLETIK
Blau, Jana, 1939-06-25, F, FUSSBALL
Baer, Jens, 1963-09-26, M, REITEN
Baumgartner, Joerg, 1984-09-26, M, REITEN
Busch, Jessica, 1928-10-26, F, FUSSBALL
Baier, Juergen, 1958-10-26, M, RUDERN
Biermann, Jessica, 1972-01-30, F, FECHTEN
Baer, Johanna, 1987-01-30, F, FECHTEN
Bach, Jessica, 1942-03-30, F, FUSSBALL
Baader, Jennifer, 1951-03-30, F, LEICHTATHLETIK
Beyer, Jessika, 1927-04-30, F, LEICHTATHLETIK
Bosch, Jessika, 1941-04-30, F, TURNEN
Bosch, Jan, 1961-04-30, M, RADSPORT
Brauer, Janina, 1963-04-30, F, TANZEN
Busch, Jens, 1965-04-30, M, REITEN
Bumgarner, Jonas, 1973-04-30, M, TANZEN
Bayer, Juliane, 1921-07-31, F, LEICHTATHLETIK
Berg, Jan, 1947-07-31, M, RUDERN
Beich, Jens, 1979-07-31, M, RUDERN
Bachmeier, Jan, 1942-08-31, M, LEICHTATHLETIK
Becker, Johanna, 1962-08-31, F, SCHWIMMEN
Barth, Juergen, 1980-08-31, M, REITEN
Bach, Kevin, 1921-06-01, M, TANZEN
Bumgarner, Kevin, 1935-06-01, M, FUSSBALL
Bader, Kevin, 1940-06-01, M, FECHTEN
Baumgartner, Katrin, 1956-06-01, F, FUSSBALL
Brandt, Katrin, 1981-06-01, F, HANDBALL
Becker, Kathrin, 1982-06-01, F, TANZEN
Beike, Kristian, 1984-06-01, M, TANZEN
Barth, Klaus, 1992-06-01, M, SCHWIMMEN
Boehm, Kevin, 1958-07-01, M, SCHWIMMEN
Bach, Karolin, 1963-07-01, F, FECHTEN
Boehm, Kerstin, 1997-07-01, F, TANZEN
Beyer, Klaus, 1917-08-01, M, HANDBALL
Bader, Kevin, 1950-08-01, M, RADSPORT
Blau, Karin, 1961-08-01, F, TURNEN
Bar, Klaudia, 1965-08-01, F, FECHTEN
Bergmann, Katharina, 1986-11-02, F, FUSSBALL
Baum, Katja, 1925-12-02, F, SCHWIMMEN
Bader, Karolin, 1965-12-02, F, LEICHTATHLETIK
Baumgaertner, Katrin, 1972-12-02, F, LEICHTATHLETIK
Bergmann, Katja, 1978-12-02, F, LEICHTATHLETIK
Bohm, Kathrin, 1992-12-02, F, HANDBALL
Berg, Katrin, 1938-01-05, F, RADSPORT
Beich, Kathrin, 1959-01-05, F, TURNEN
Bader, Klaus, 1984-01-05, M, TURNEN
Beyer, Kristian, 1994-01-05, M, TURNEN
Bergmann, Karin, 1939-04-06, F, RUDERN
Bumgarner, Katharina, 1992-04-06, F, TANZEN
Bauer, Karin, 1919-05-06, F, TANZEN
Baum, Karin, 1970-05-06, F, HANDBALL
Boehm, Kathrin, 1980-05-06, F, RADSPORT
Berg, Klaus, 1918-06-06, M, FUSSBALL
Boehm, Katja, 1932-06-06, F, HANDBALL
Bader, Kristian, 1965-06-06, M, RADSPORT
Baumgartner, Katja, 1980-06-06, F, SCHWIMMEN
Baumgaertner, Katrin, 1986-06-06, F, REITEN
Bader, Karin, 1950-09-07, F, LEICHTATHLETIK
Bauer, Klaudia, 1952-09-07, F, SCHWIMMEN
Burger, Katja, 1922-11-07, F, RADSPORT
Bieber, Kristin, 1923-11-07, F, RUDERN
Beyer, Karolin, 1932-11-07, F, RUDERN
Baum, Kathrin, 1998-11-07, F, REITEN
Bayer, Kristin, 1942-02-11, F, FECHTEN
Bar, Kerstin, 1947-02-11, F, RUDERN
Bar, Karolin, 1950-02-11, F, RADSPORT
Bosch, Kathrin, 1984-02-11, F, TURNEN
Bosch, Karolin, 1954-03-11, F, LEICHTATHLETIK
Baer, Kathrin, 1965-07-12, F, FECHTEN
Brandt, Kristin, 1938-08-12, F, RADSPORT
Bayer, Kerstin, 1946-08-12, F, RUDERN
Boehm, Kristian, 1985-08-12, M, FUSSBALL
Biermann, Klaudia, 1929-09-12, F, REITEN
Brauer, Kevin, 1941-09-12, M, REITEN
Brauer, Kevin, 1959-09-12, M, HANDBALL
Beckenbauer, Kerstin, 1994-09-12, F, TANZEN
Busch, Katrin, 1959-12-13, F, RADSPORT
Baumgartner, Kevin, 1991-12-13, M, RUDERN
Beike, Katrin, 1994-12-13, F, REITEN
Boehm, Kevin, 1925-01-16, M, LEICHTATHLETIK
Bach, Kerstin, 1937-01-16, F, RUDERN
Baum, Klaus, 1940-01-16, M, LEICHTATHLETIK
Beike, Katrin, 1954-01-16, F, FECHTEN
Bach, Kevin, 1957-01-16, M, TANZEN
Brandt, Katharina, 1952-02-16, F, TANZEN
Bauer, Katrin, 1984-02-16, F, HANDBALL
Berg, Kevin, 1988-02-16, M, TANZEN
Bachmeier, Klaudia, 1951-05-17, F, FECHTEN
Biermann, Katharina, 1941-06-17, F, FUSSBALL
Bergmann, Kevin, 1968-06-17, M, HANDBALL
Baer, Karin, 1933-07-17, F, LEICHTATHLETIK
Beyer, Kevin, 1944-07-17, M, RUDERN
Barth, Katharina, 1968-07-17, F, HANDBALL
Braun, Klaus, 1983-07-17, M, REITEN
Braun, Katrin, 1959-10-18, F, LEICHTATHLETIK
Bader, Klaudia, 1965-10-18, F, RADSPORT
Bieber, Karin, 1970-10-18, F, RUDERN
Burger, Klaus, 1971-10-18, M, HANDBALL
Baer, Karin, 1975-10-18, F, TURNEN
Braun, Karolin, 1994-10-18, F, FUSSBALL
Bergmann, Kevin, 1932-11-18, M, LEICHTATHLETIK
Brandt, Klaudia, 1954-11-18, F, FECHTEN
Bumgarner, Kevin, 1955-11-18, M, FECHTEN
Buerger, Katharina, 1965-11-18, F, HANDBALL
Bohm, Klaus, 1972-11-18, M, SCHWIMMEN
Blau, Karolin, 1921-12-18, F, REITEN
Bumgarner, Kristian, 1942-12-18, M, REITEN
Beyer, Katrin, 1948-12-18, F, TURNEN
Boehm, Kristian, 1918-03-22, M, LEICHTATHLETIK
Burger, Katrin, 1949-03-22, F, FECHTEN
Bohm, Kevin, 1955-03-22, M, REITEN
Becker, Kathrin, 1927-04-22, F, TANZEN
Bader, Katja, 1982-04-22, F, HANDBALL
Brandt, Klaudia, 1989-04-22, F, FECHTEN
Brandt, Karin, 1930-05-22, F, FUSSBALL
Bar, Kevin, 1945-05-22, M, LEICHTATHLETIK
Baecker, Kristin, 1929-08-23, F, RUDERN
Bar, Kevin, 1940-08-23, M, FECHTEN
Becker, Katja, 1956-08-23, F, RUDERN
Baumgaertner, Klaudia, 1958-08-23, F, FUSSBALL
Baer, Kathrin, 1996-08-23, F, HANDBALL
Baecker, Karin, 1929-09-23, F, LEICHTATHLETIK
Bach, Kerstin, 1967-09-23, F, REITEN
Busch, Kristin, 1976-09-23, F, RADSPORT
Bach, Karin, 1988-09-23, F, RADSPORT
Blau, Kristin, 1937-10-23, F, SCHWIMMEN
Bosch, Kevin, 1992-10-23, M, RUDERN
Blau, Kristian, 1928-03-27, M, TURNEN
Beyer, Klaudia, 1949-03-27, F, RUDERN
Bieber, Kevin, 1951-03-27, M, RUDERN
Becker, Katrin, 1980-03-27, F, RUDERN
Bumgarner, Kevin, 1917-06-28, M, FECHTEN
Bachmeier, Klaus, 1937-06-28, M, TANZEN
Beike, Klaudia, 1991-06-28, F, RUDERN
Blau, Katja, 1996-06-28, F, LEICHTATHLETIK
Braun, Kevin, 1947-07-28, M, REITEN
Brauer, Kristian, 1960-07-28, M, TANZEN
Biermann, Karin, 1937-08-28, F, RADSPORT
Baer, Klaus, 1944-08-28, M, TANZEN
Bayer, Kristin, 1955-08-28, F, FECHTEN
Beike, Kristin, 1920-11-29, F, LEICHTATHLETIK
Baader, Katja, 1925-12-29, F, RADSPORT
Baum, Katharina, 1951-12-29, F, TURNEN
Blau, Katrin, 1970-12-29, F, LEICHTATHLETIK
Bohm, Kristian, 1975-12-29, M, REITEN
Bar, Karolin, 1983-12-29, F, HANDBALL
Braun, Kristin, 1994-12-29, F, TANZEN
Beike, Laura, 1934-04-03, F, SCHWIMMEN
Bohm, Luca, 1939-05-03, M, TURNEN
Bar, Leonie, 1961-05-03, F, RUDERN
Brandt, Lukas, 1977-05-03, M, SCHWIMMEN
Brauer, Lukas, 1962-10-04, M, REITEN
Barth, Leonie, 1989-02-08, F, FUSSBALL
Berg, Leonie, 1971-03-08, F, REITEN
Boehm, Laura, 1987-03-08, F, TANZEN
Bachmeier, Leonie, 1996-03-08, F, TURNEN
Bayer, Leah, 1951-07-09, F, LEICHTATHLETIK
Bohm, Lena, 1975-07-09, F, RADSPORT
Burger, Lena, 1976-07-09, F, FUSSBALL
Beike, Lucas, 1921-08-09, M, REITEN
Bergmann, Leah, 1963-08-09, F, FUSSBALL
Bergmann, Lea, 1972-08-09, F, TANZEN
Bar, Lukas, 1966-12-10, M, LEICHTATHLETIK
Bieber, Lisa, 1945-01-13, F, FECHTEN
Baader, Leonie, 1949-01-13, F, LEICHTATHLETIK
Bergmann, Lukas, 1982-01-13, M, TANZEN
Becker, Laura, 1992-01-13, F, REITEN
Beich, Leon, 1929-05-14, M, HANDBALL
Buerger, Leon, 1939-05-14, M, FECHTEN
Bauer, Lucas, 1981-05-14, M, REITEN
Bieber, Leah, 1968-06-14, F, RADSPORT
Bayer, Luca, 1984-06-14, M, REITEN
Baier, Lucas, 1989-06-14, M, TANZEN
Baader, Lukas, 1991-06-14, M, LEICHTATHLETIK
Baader, Luca, 1936-10-15, M, REITEN
Baier, Leah, 1955-10-15, F, LEICHTATHLETIK
Baumgartner, Leah, 1959-10-15, F, FUSSBALL
Bosch, Laura, 1953-11-15, F, RUDERN
Braun, Lukas, 1918-02-19, M, FECHTEN
Baumgartner, Lucas, 1920-02-19, M, SCHWIMMEN
Biermann, Leah, 1926-03-19, F, FUSSBALL
Brandt, Lisa, 1935-03-19, F, RADSPORT
Bayer, Laura, 1983-03-19, F, HANDBALL
Baecker, Lisa, 1995-03-19, F, SCHWIMMEN
Beike, Luca, 1935-04-19, M, REITEN
Beyer, Luca, 1974-04-19, M, HANDBALL
Burger, Leon, 1993-04-19, M, FUSSBALL
Biermann, Lea, 1996-04-19, F, RADSPORT
Baum, Laura, 1917-08-20, F, FUSSBALL
Beich, Leonie, 1955-08-20, F, SCHWIMMEN
Becker, Leah, 1975-08-20, F, RUDERN
Beyer, Lisa, 1995-08-20, F, LEICHTATHLETIK
Baer, Lisa, 1974-09-20, F, FECHTEN
Beckenbauer, Lukas, 1980-09-20, M, RADSPORT
Brandt, Luca, 1991-09-20, M, HANDBALL
Bergmann, Laura, 1930-01-24, F, FUSSBALL
Berg, Lisa, 1985-01-24, F, LEICHTATHLETIK
Boehm, Lukas, 1980-02-24, M, SCHWIMMEN
Braun, Leon, 1959-05-25, M, RADSPORT
